tmin	text	tmax
285.056000	sx47 Mom strongly dislikes appetizers. 	290.152000
312.600000	sx50 Catastrophic economic cutbacks neglect the poor. 	322.464000
322.736000	sx51 Ambidextrous pickpockets accomplish more. 	329.800000
330.080000	sx52 Her classical performance gained critical acclaim. 	336.960000
337.240000	sx53 Even a simple vocabulary contains symbols. 	343.304000
343.576000	sx54 The eastern coast is a place for pure pleasure and excitement. 	351.160000
351.440000	sx55 The lack of heat compounded the tenant's grievances. 	359.104000
359.376000	sx56 Academic aptitude guarantees your diploma. 	365.784000
366.056000	sx57 The prowler wore a ski mask for disguise. 	372.600000
372.880000	sx58 We experience distress and frustration obtaining our degrees. 	380.784000
381.056000	sx59 The singer's finger had a splinter. 	387.104000
399.088000	sx61 Chocolate and roses never fail as a romantic gift. 	406.136000
406.408000	sx62 Any contributions will be greatly appreciated. 	412.152000
412.432000	sx63 Continental drift is a geological theory. 	418.696000
418.968000	sx64 Regular attendance is seldom required. 	424.856000
425.128000	sx65 Challenge each general's intelligence. 	431.336000
431.608000	sx66 We got drenched from the uninterrupted rain. 	441.664000
441.936000	sx67 Last year's gas shortage caused steep price increases. 	449.008000
449.280000	sx68 Upgrade your status to reflect your wealth. 	455.648000
455.920000	sx69 Eat your raisins outdoors on the porch steps. 	462.544000
462.816000	sx70 Did you eat yet? 	466.704000
466.976000	sx71 Porcupines resemble sea urchins. 	471.864000
472.136000	sx72 Spring Street is straight ahead. 	477.184000
477.456000	sx73 Cliff's display was misplaced on the screen. 	483.144000
483.416000	sx74 An official deadline cannot be postponed. 	489.008000
489.280000	sx75 Fill that canteen with fresh spring water. 	494.848000
495.120000	sx76 Gently place Jim's foam sculpture in the box. 	501.184000
501.456000	sx77 Bagpipes and bongos are musical instruments. 	507.088000
507.360000	sx78 Doctors prescribe drugs too freely. 	513.168000
513.440000	sx79 Will you please describe the idiotic predicament. 	519.168000
519.440000	sx80 It's illegal to postdate a check. 	525.384000
525.656000	sx81 It's impossible to deal with bureaucracy. 	532.064000
532.336000	sx82 Good service should be rewarded by big tips. 	538.184000
538.456000	sx83 My instructions desperately need updating. 	544.088000
544.360000	sx84 Cooperation along with understanding alleviate dispute. 	552.128000
552.400000	sx85 Cement is measured in cubic yards. 	558.488000
558.760000	sx86 Hispanic costumes are quite colorful. 	564.168000
564.440000	sx87 Primitive tribes have an upbeat attitude. 	569.648000
569.920000	sx88 Flying standby can be practical if you want to save money. 	576.664000
576.936000	sx89 It's hard to tell an original from a forgery. 	582.784000
583.056000	sx90 The Thinker is a famous sculpture. 	588.384000
597.296000	sx92 A large household needs lots of appliances. 	603.824000
604.096000	sx93 Cut a small corner off each edge. 	610.544000
610.816000	sx94 Youngsters love common candy as treats. 	617.008000
625.240000	sx96 Masquerade parties tax one's imagination. 	632.064000
632.336000	sx97 Penguins live near the icy Antarctic. 	639.144000
639.416000	sx98 Guess the question from the answer. 	645.488000
645.760000	sx99 Medieval society was based on hierarchies. 	651.824000
652.096000	sx100 Project development was proceeding too slowly. 	658.088000
658.360000	sx101 Kindergarten children decorate their classrooms for all holidays. 	665.704000
665.976000	sx102 Special task forces rescue hostages from kidnappers. 	672.504000
672.776000	sx103 Call an ambulance for medical assistance. 	677.888000
678.160000	sx104 He stole a dime from a beggar. 	683.064000
683.336000	sx105 You must explicitly delete files. 	688.048000
688.320000	sx106 A huge tapestry hung in her hallway. 	693.728000
694.000000	sx107 Birthday parties have cupcakes and ice cream. 	699.088000
699.360000	sx108 His scalp was blistered from today's hot sun. 	706.048000
706.320000	sx109 She slipped and sprained her ankle on the steep slope. 	712.424000
712.696000	sx110 The best way to learn is to solve extra problems. 	718.848000
719.120000	sx111 His sudden departure shocked the cast. 	725.328000
725.600000	sx112 Tugboats are capable of hauling huge loads. 	730.944000
731.216000	sx113 A muscular abdomen is good for your back. 	737.088000
737.360000	sx114 The cartoon features a muskrat and a tadpole. 	742.848000
743.120000	sx115 The emblem depicts the Acropolis all aglow. 	749.664000
749.936000	sx116 Clasp the screw in your left hand. 	755.768000
756.040000	sx117 The mango and the papaya are in a bowl. 	761.184000
761.456000	sx118 Combine all the ingredients in a large bowl. 	767.264000
767.536000	sx119 The misquote was retracted with an apology. 	774.704000
774.976000	sx120 The coyote, bobcat, and hyena are wild animals. 	781.968000
782.240000	sx121 Trespassing is forbidden and subject to penalty. 	788.448000
788.720000	sx122 Encyclopedias seldom present anecdotal evidence. 	795.168000
795.440000	sx123 A screwdriver is made from vodka and orange juice. 	801.784000
802.056000	sx124 Objects made of pewter are beautiful. 	808.704000
819.848000	sx126 Artificial intelligence is for real. 	826.288000
826.568000	sx127 The emperor had a mean temper. 	832.512000
832.784000	sx128 Lots of foreign movies have subtitles. 	838.752000
839.024000	sx129 Angora cats are furrier than Siamese. 	845.992000
846.264000	sx130 He ate four extra eggs for breakfast. 	852.352000
852.624000	sx131 We plan to build a new beverage plant. 	858.472000
876.464000	sx134 December and January are nice months to spend in Miami. 	883.648000
883.928000	sx135 Technical writers can abbreviate in bibliographies. 	890.568000
890.848000	sx136 Scientific progress comes from the development of new techniques. 	898.392000
898.664000	sx137 Tradition requires parental approval for under-age marriage. 	907.728000
908.008000	sx138 The clumsy customer spilled some expensive perfume. 	918.144000
918.416000	sx139 The bungalow was pleasantly situated near the shore. 	925.440000
925.720000	sx140 Agricultural products are unevenly distributed. 	932.360000
932.640000	sx141 Pledge to participate in Nevada's aquatic competition. 	939.160000
939.440000	sx142 Which long article was opaque and needed clarification? 	946.064000
954.440000	sx144 The willowy woman wore a muskrat coat. 	960.800000
961.080000	sx145 Too much curiosity can get you into trouble. 	966.944000
967.216000	sx146 Cyclical programs will never compile. 	973.504000
973.776000	sx147 Correct execution of my instructions is crucial. 	980.360000
980.640000	sx148 Most precincts had a third of the votes counted. 	987.384000
987.656000	sx149 While waiting for Chipper she crisscrossed the square many times. 	994.520000
994.800000	sx150 Vietnamese cuisine is exquisite. 	999.840000
1000.120000	sx151 The previous speaker presented ambiguous results. 	1007.200000
1007.480000	sx152 Mosquitoes exist in warm, humid climates. 	1013.200000
1013.480000	sx153 Scholastic aptitude is judged by standardized tests. 	1020.800000
1021.080000	sx154 Orange juice tastes funny after toothpaste. 	1027.600000
1027.880000	sx155 The water contained too much chlorine and stung his eyes. 	1034.640000
1043.480000	sx157 Remove the splinter with a pair of tweezers. 	1049.984000
1050.256000	sx158 The drunkard is a social outcast. 	1055.424000
1055.696000	sx159 The government sought authorization of his citizenship. 	1061.880000
1062.160000	sx160 As coauthors, we presented our new book to the haughty audience. 	1068.880000
1078.840000	sx162 Her auburn hair reminded him of autumn leaves. 	1084.744000
1085.016000	sx163 They remained lifelong friends and companions. 	1091.224000
1091.496000	sx164 Curiosity and mediocrity seldom coexist. 	1098.480000
1098.760000	sx165 The easygoing zoologist relaxed throughout the voyage. 	1106.040000
1106.320000	sx166 Biologists use radioactive isotopes to study microorganisms. 	1114.224000
1114.496000	sx167 Employee layoffs coincided with the company's reorganization. 	1121.800000
1130.720000	sx169 How would you evaluate this algebraic expression? 	1137.160000
1137.440000	sx170 The Mayan neoclassic scholar disappeared while surveying ancient ruins. 	1145.984000
1146.256000	sx171 The diagnosis was discouraging; however, he was not overly worried. 	1154.384000
1154.656000	sx172 The triumphant warrior exhibited naive heroism. 	1164.200000
1164.480000	sx173 Whoever cooperates in finding Nan's cameo will be rewarded. 	1173.680000
1173.960000	sx174 The haunted house was a hit due to outstanding audio-visual effects. 	1183.480000
1183.760000	sx175 Severe myopia contributed to Ron's inferiority complex. 	1191.784000
1192.056000	sx176 Buying a thoroughbred horse requires intuition and expertise. 	1200.240000
1200.520000	sx177 Does Creole cooking use curry? 	1207.064000
1207.336000	sx178 She encouraged her children to make their own Halloween costumes. 	1215.424000
1215.696000	sx179 We could barely see the fjords through the snow flurries. 	1222.360000
1222.640000	sx180 Almost all colleges are now coeducational. 	1230.000000
1230.280000	sx181 Rich looked for spotted hyenas and jaguars on the safari. 	1239.040000
1239.320000	sx182 Thick glue oozed out of the tube. 	1246.000000
1246.280000	sx183 Why else would Danny allow others to go? 	1252.480000
1252.760000	sx184 The cat's meow always hurts my ears. 	1259.304000
1259.576000	sx185 Did you buy any corduroy overalls? 	1265.704000
1265.976000	sx186 Would a tomboy often play outdoors? 	1272.200000
1272.480000	sx187 They often go out in the evening. 	1277.944000
1278.216000	sx188 Who authorized the unlimited expense account? 	1284.424000
1284.696000	sx189 Destroy every file related to my audits. 	1290.880000
1291.160000	sx190 Serve the coleslaw after I add the oil. 	1297.160000
1297.440000	sx191 Withdraw all phony accusations at once. 	1304.704000
1304.976000	sx192 Straw hats are out of fashion this year. 	1311.120000
1311.400000	sx193 Why buy oil when you always use mine? 	1318.064000
1318.336000	sx194 They enjoy it when I audition. 	1323.624000
1323.896000	sx195 Would you allow acts of violence? 	1329.240000
1329.520000	sx196 How do oysters make pearls? 	1334.520000
1334.800000	sx197 Draw each graph on a new axis. 	1339.720000
1340.000000	sx198 Norwegian sweaters are made of lamb's wool. 	1345.384000
1345.656000	sx199 Young children should avoid exposure to contagious diseases. 	1352.904000
1353.176000	sx200 Ralph controlled the stopwatch from the bleachers. 	1359.944000
1369.520000	sx202 How much allowance do you get? 	1375.624000
1375.896000	sx203 The causeway ended abruptly at the shore. 	1382.184000
1382.456000	sx204 Even I occasionally get the Monday blues! 	1389.400000
1389.680000	sx205 Military personnel are expected to obey government orders. 	1397.384000
1397.656000	sx206 When peeling an orange, it is hard not to spray juice. 	1404.880000
1405.160000	sx207 Do you hear the sleigh bells ringing? 	1411.760000
1412.040000	sx208 Rob sat by the pond and sketched the stray geese. 	1419.344000
1419.616000	sx209 Michael colored the bedroom wall with crayons. 	1426.664000
1426.936000	sx210 Jeff's toy go-cart never worked! 	1432.624000
1432.896000	sx211 Only the best players enjoy popularity. 	1438.984000
1439.256000	sx212 I gave them several choices and let them set the priorities. 	1445.480000
1445.760000	sx213 The news agency hired a great journalist. 	1452.544000
1452.816000	sx214 The morning dew on the spider web glistened in the sun. 	1460.360000
1460.640000	sx215 The sermon emphasized the need for affirmative action. 	1467.400000
1475.336000	sx217 How permanent are their records? 	1481.464000
1481.736000	sx218 Try to recall the events in chronological order. 	1488.480000
1488.760000	sx219 Nonprofit organizations have frequent fund raisers. 	1496.520000
1496.800000	sx220 The most recent geological survey found seismic activity. 	1504.504000
1513.856000	sx222 You always come up with pathological examples. 	1520.304000
1527.320000	sx224 How good is your endurance? 	1532.360000
1532.640000	sx225 Keep the thermometer under your tongue! 	1538.320000
1538.600000	sx226 Steph could barely handle the psychological trauma. 	1544.920000
1545.200000	sx227 It's healthier to cook without sugar. 	1552.064000
1552.336000	sx228 The viewpoint overlooked the ocean. 	1559.120000
1559.400000	sx229 Are you looking for employment? 	1565.880000
1566.160000	sx230 Allow leeway here, but rationalize all errors. 	1573.600000
1573.880000	sx231 I honor my mom. 	1578.664000
1578.936000	sx232 His failure to open the store by eight cost him his job. 	1586.544000
1586.816000	sx233 Highway and freeway mean the same thing. 	1594.424000
1594.696000	sx234 The paper boy bought two apples and three ices. 	1602.040000
1602.320000	sx235 I itemize all accounts in my agency. 	1608.544000
1608.816000	sx236 Clear pronunciation is appreciated. 	1615.560000
1615.840000	sx237 The courier was a dwarf. 	1621.784000
1622.056000	sx238 A doctor was in the ambulance with the patient. 	1627.880000
1628.160000	sx239 Puree some fruit before preparing the skewers. 	1635.480000
1635.760000	sx240 It's not easy to create illuminating examples. 	1642.864000
1643.136000	sx241 The hallway opens into a huge chamber. 	1650.080000
1650.360000	sx242 May I order a strawberry sundae after I eat dinner? 	1657.024000
1657.296000	sx243 They all agree that the essay is barely intelligible. 	1664.160000
1664.440000	sx244 Herb's birthday occurs frequently on Thanksgiving. 	1671.264000
1679.416000	sx246 How ancient is this subway escalator? 	1685.920000
1686.200000	sx247 The cigarettes in the clay ashtray overflowed onto the oak table. 	1693.504000
1693.776000	sx248 Reading in poor light gives you eyestrain. 	1700.240000
1700.520000	sx249 I ate every oyster on Nora's plate. 	1706.264000
1706.536000	sx250 The Boston Ballet overcame their funding shortage. 	1713.560000
1713.840000	sx251 We apply auditory modeling to computer speech recognition. 	1721.720000
1722.000000	sx252 The gorgeous butterfly ate a lot of nectar. 	1727.504000
1727.776000	sx253 By eating yogurt, you may live longer. 	1733.480000
1733.760000	sx254 Do they allow atheists in church? 	1739.304000
1739.576000	sx255 My ideal morning begins with hot coffee. 	1746.000000
1746.280000	sx256 The irate actor stomped away idiotically. 	1754.544000
1754.816000	sx257 We are open every Monday evening. 	1761.400000
1771.016000	sx259 Tornados often destroy acres of farm land. 	1779.080000
1779.360000	sx260 Remember to allow identical twins to enter freely. 	1789.952000
1790.224000	sx261 Do you have the yellow ointment ready? 	1797.352000
1797.624000	sx262 Can the agency overthrow alien forces? 	1803.992000
1804.264000	sx263 How oily do you like your salad dressing? 	1810.248000
1810.528000	sx264 We saw eight tiny icicles below our roof. 	1816.872000
1817.144000	sx265 The saw is broken, so chop the wood instead. 	1822.528000
1822.808000	sx266 Withdraw only as much money as you need. 	1829.288000
1829.568000	sx267 Draw every outer line first, then fill in the interior. 	1836.432000
1836.704000	sx268 The jaw operates by using antagonistic muscles. 	1844.872000
1845.144000	sx269 Do atypical farmers grow oats? 	1851.128000
1851.408000	sx270 Are holiday aprons available to us? 	1857.688000
1857.968000	sx271 Be careful not to plow over the flower beds. 	1864.288000
1864.568000	sx272 Allow each child to have an ice pop. 	1870.088000
1870.368000	sx273 The angry boy answered but didn't look up. 	1876.568000
1885.824000	sx275 Steve wore a bright red cashmere sweater. 	1892.288000
1892.568000	sx276 John's brother repainted the garage door. 	1898.048000
1898.328000	sx277 The rose corsage smelled sweet. 	1904.088000
1904.368000	sx278 To further his prestige, he occasionally reads the Wall Street Journal. 	1912.768000
1913.048000	sx279 Alice's ability to work without supervision is noteworthy. 	1920.992000
1921.264000	sx280 The oasis was a mirage. 	1926.968000
1927.248000	sx281 Cory and Trish played tag with beach balls for hours. 	1935.448000
1935.728000	sx282 The tooth fairy forgot to come when Roger's tooth fell out. 	1942.408000
1942.688000	sx283 Planned parenthood organizations promote birth control. 	1949.608000
1949.888000	sx284 Jeff thought you argued in favor of a centrifuge purchase. 	1957.768000
1958.048000	sx285 Rich purchased several signed lithographs. 	1963.632000
1963.904000	sx286 In every major cloverleaf, traffic sometimes gets backed up. 	1971.088000
1971.368000	sx287 In the long run, it pays to buy quality clothing. 	1978.112000
1988.088000	sx289 Weatherproof galoshes are very useful in Seattle. 	1994.952000
1995.224000	sx290 This brochure is particularly informative for a prospective buyer. 	2003.048000
2003.328000	sx291 The avalanche triggered a minor earthquake. 	2009.632000
2009.904000	sx292 These exclusive documents must be locked up at all times. 	2017.488000
2017.768000	sx293 Please take this dirty table cloth to the cleaners for me. 	2024.568000
2024.848000	sx294 Should giraffes be kept in small zoos? 	2031.392000
2031.664000	sx295 If Carol comes tomorrow, have her arrange for a meeting at two. 	2038.728000
2039.008000	sx296 The two artists exchanged autographs. 	2045.368000
2045.648000	sx297 Rock-and-roll music has a great rhythm. 	2050.568000
2050.848000	sx298 I'd rather not buy these shoes than be overcharged. 	2058.128000
2058.408000	sx299 Shaving cream is a popular item on Halloween. 	2064.808000
2065.088000	sx300 Amoebas change shape constantly. 	2071.408000
2071.688000	sx301 We like bleu cheese but Victor prefers swiss cheese. 	2078.032000
2078.304000	sx302 Tofu is made from processed soybeans. 	2084.568000
2084.848000	sx303 The bluejay flew over the high building. 	2090.528000
2090.808000	sx304 Cheap stockings run the first time they're worn. 	2097.472000
2097.744000	sx305 Cottage cheese with chives is delicious. 	2104.328000
2104.608000	sx306 A chosen few will become Generals. 	2111.192000
2111.464000	sx307 The meeting is now adjourned. 	2116.408000
2116.688000	sx308 Shipbuilding is a most fascinating process. 	2122.368000
2122.648000	sx309 The proof that you are seeking is not available in books. 	2130.248000
2130.528000	sx310 The hood of the jeep was steaming in the hot sun. 	2137.648000
2137.928000	sx311 My desires are simple: give me one informative paragraph on the subject. 	2146.648000
2146.928000	sx312 Those answers will be straightforward if you think them through carefully first. 	2155.768000
2156.048000	sx313 Drop five forms in the box before you go out. 	2163.408000
2163.688000	sx314 If people were more generous, there would be no need for welfare. 	2170.792000
2171.064000	sx315 Bob found more clams at the ocean's edge. 	2178.712000
2178.984000	sx316 That dog chases cats mercilessly. 	2186.048000
2193.808000	sx318 Please dig my potatoes up before frost. 	2201.888000
2202.168000	sx319 A big goat idly ambled through the farmyard. 	2208.832000
2209.104000	sx320 The nearest synagogue may not be within walking distance. 	2217.288000
2217.568000	sx321 The groundhog clearly saw his shadow, but stayed out only a moment. 	2227.072000
2227.344000	sx322 A leather handbag would be a suitable gift. 	2234.128000
2234.408000	sx323 The fog prevented them from arriving on time. 	2241.168000
2241.448000	sx324 The local drugstore was charged with illegally dispensing tranquilizers. 	2249.632000
2257.488000	sx326 Steve collects rare and novel coins. 	2264.728000
2265.008000	sx327 Al received a joint appointment in the biology and the engineering departments. 	2275.264000
2275.536000	sx328 Gregory and Tom chose to watch cartoons in the afternoon. 	2283.184000
2283.456000	sx329 Chip postponed alimony payments until the latest possible date. 	2292.480000
2292.760000	sx330 Count the number of teaspoons of soysauce that you add. 	2300.240000
2300.520000	sx331 The big dog loved to chew on the old rag doll. 	2307.680000
2307.960000	sx332 Todd placed top priority on getting his bike fixed. 	2315.280000
2315.560000	sx333 An adult male baboon's teeth are not suitable for eating shellfish. 	2323.984000
2324.256000	sx334 Often you'll get back more than you put in. 	2331.424000
2331.696000	sx335 Gus saw pine trees and redwoods on his walk through Sequoia National Forest. 	2341.024000
2341.296000	sx336 Rob made Hungarian goulash for dinner and gooseberry pie for dessert. 	2352.320000
2352.592000	sx337 Bob bandaged both wounds with the skill of a doctor. 	2361.760000
2362.032000	sx338 The dark, murky lagoon wound around for miles. 	2371.544000
2371.816000	sx339 Did Shawn catch that big goose without help? 	2379.744000
2380.016000	sx340 Ducks have webbed feet and colorful feathers. 	2387.160000
2387.432000	sx341 The high security prison was surrounded by barbed wire. 	2394.784000
2403.992000	sx343 The frightened child was gently subdued by his big brother. 	2412.000000
2412.272000	sx344 I know I didn't meet her early enough. 	2420.064000
2428.832000	sx346 The barracuda recoiled from the serpent's poisonous fangs. 	2437.624000
2437.896000	sx347 The patient and the surgeon are both recuperating from the lengthy operation. 	2447.480000
2447.752000	sx348 I'll have a scoop of that exotic purple and turquoise sherbet. 	2455.320000
2455.592000	sx349 The preschooler couldn't verbalize her feelings about the emergency conditions. 	2464.960000
2465.232000	sx350 Many wealthy tycoons splurged and bought both a yacht and a schooner. 	2473.624000
2473.896000	sx351 The new suburbanites worked hard on refurbishing their older home. 	2481.424000
2481.696000	sx352 According to my interpretation of the problem, two lines must be perpendicular. 	2491.960000
2492.232000	sx353 A connoisseur will enjoy this shellfish dish. 	2499.296000
2499.576000	sx354 A lawyer was appointed to execute her will. 	2505.720000
2505.992000	sx355 Dolphins are intelligent marine mammals. 	2511.496000
2519.096000	sx357 The moisture in my eyes is from eyedrops, not from tears. 	2526.856000
2527.136000	sx358 George seldom watches daytime movies. 	2534.000000
2541.856000	sx360 I assume moisture will damage this ship's hull. 	2549.040000
2549.312000	sx361 The speech symposium might begin Monday. 	2555.216000
2555.496000	sx362 The annoying raccoons slipped into Phil's garden every night. 	2562.600000
2562.872000	sx363 The cow wandered from the farmland and became lost. 	2569.320000
2569.592000	sx364 Each untimely income loss coincided with the breakdown of a heating system part. 	2578.016000
2578.296000	sx365 The gunman kept his victim cornered at gunpoint for three hours. 	2586.720000
2586.992000	sx366 Will you please confirm government policy regarding waste removal? 	2595.656000
2595.936000	sx367 The surplus shoes were sold at a discount price. 	2603.656000
2603.936000	sx368 Lori's costume needed black gloves to be completely elegant. 	2612.296000
2620.872000	sx370 That noise problem grows more annoying each day. 	2628.840000
2629.112000	sx371 Right now may not be the best time for business mergers. 	2635.976000
2636.256000	sx372 That diagram makes sense only after much study. 	2644.136000
2644.416000	sx373 A boring novel is a superb sleeping pill. 	2651.096000
2659.152000	sx375 Growing well-kept gardens is very time consuming. 	2666.360000
2666.632000	sx376 Women may never become completely equal to men. 	2674.616000
2674.896000	sx377 She always jokes about too much garlic in his food. 	2682.736000
2683.016000	sx378 I just saw Jim near the new archeological museum. 	2689.720000
2689.992000	sx379 Pam gives driving lessons on Thursdays. 	2697.400000
2697.672000	sx380 Why charge money for such garbage? 	2703.616000
2703.896000	sx381 We welcome many new students each year. 	2710.640000
2710.912000	sx382 George is paranoid about a future gas shortage. 	2718.160000
2718.432000	sx383 The carpet cleaners shampooed our oriental rug. 	2725.160000
2725.432000	sx384 Please shorten this skirt for Joyce. 	2731.400000
2731.672000	sx385 His shoulder felt as if it were broken. 	2737.320000
2737.592000	sx386 Which church do the Smiths worship in? 	2743.320000
2763.208000	sx389 They own a big house in the remote countryside. 	2771.048000
2771.328000	sx390 He picked up nine pairs of socks for each brother. 	2779.008000
2779.288000	sx391 They all like long hot showers. 	2786.288000
2786.568000	sx392 A young mouse scampered across the field and disappeared. 	2795.272000
2795.544000	sx393 She uses both names interchangeably. 	2803.032000
2803.304000	sx394 Calcium makes bones and teeth strong. 	2810.512000
2810.784000	sx395 I took her word for it, but is she really going with you? 	2819.248000
2819.528000	sx396 The fish began to leap frantically on the surface of the small lake. 	2828.608000
2828.888000	sx397 Tim takes Sheila to see movies twice a week. 	2836.792000
2837.064000	sx398 Children can consume many fruit candies in one sitting. 	2845.008000
2845.288000	sx399 They assume no burglar will ever enter here. 	2852.128000
2852.408000	sx400 Just drop notices in any suggestion box. 	2859.048000
2859.328000	sx401 The taxicab broke down and caused a traffic jam. 	2866.408000
2866.688000	sx402 We'll serve rhubarb pie after Rachel's talk. 	2873.392000
2873.664000	sx403 Her wardrobe consists of only skirts and blouses. 	2881.208000
2881.488000	sx404 Barb burned paper and leaves in a big bonfire. 	2889.488000
2889.768000	sx405 Of course you can have another tunafish sandwich. 	2897.352000
2897.624000	sx406 There was a gigantic wasp next to Irving's big top hat. 	2907.712000
2919.128000	sx408 I'd ride the subway, but I haven't enough change. 	2926.872000
2927.144000	sx409 Eating spinach nightly increases strength miraculously. 	2936.408000
2936.688000	sx410 Greg buys fresh milk each weekday morning. 	2943.448000
2943.728000	sx411 Butterscotch fudge goes well with vanilla ice cream. 	2950.928000
2951.208000	sx412 Gwen planted green beans in her vegetable garden. 	2959.368000
2959.648000	sx413 Daphne's Swedish needlepoint scarf matched her skirt. 	2968.592000
2968.864000	sx414 Irish youngsters eat fresh kippers for breakfast. 	2976.312000
2976.584000	sx415 Move the garbage nearer to the large window. 	2985.408000
2985.688000	sx416 A huge power outage rarely occurs. 	2991.712000
2991.984000	sx417 Valley Lodge yearly celebrates the first calf born. 	2999.128000
2999.408000	sx418 Iris thinks this zoo has eleven Spanish zebras. 	3006.632000
3006.904000	sx419 The football team coach has a watch thin as a dime. 	3014.152000
3014.424000	sx420 Seamstresses attach zippers with a thimble, needle, and thread. 	3023.568000
3023.848000	sx421 Those who teach values first abolish cheating. 	3031.608000
3031.888000	sx422 Once you finish greasing your chain, be sure to wash thoroughly. 	3039.688000
3039.968000	sx423 Smash lightbulbs and their cash value will diminish to nothing. 	3059.472000
3059.744000	sx424 Top zinnias rarely have crooked stems. 	3070.248000
3071.584000	sx426 A moth zig-zagged along the path through Otto's garden. 	3084.720000
3084.992000	sx427 Every cab needs repainting often. 	3093.736000
3190.584000	sx429 A toothpaste tube should be squeezed from the bottom. 	3197.656000
3197.936000	sx430 Those who are not purists use canned vegetables when making stew. 	3206.096000
3206.376000	sx431 The fifth jar contains big, juicy peaches. 	3214.232000
3214.504000	sx432 Coffee is grown on steep, jungle-like slopes in temperate zones. 	3224.528000
3224.800000	sx433 The overweight charmer could slip poison into anyone's tea. 	3233.568000
3233.840000	sx434 Each stag surely finds a big fawn. 	3241.584000
3241.864000	sx435 The rich should invest in black zircons instead of stylish shoes. 	3251.728000
3252.000000	sx436 Please sing just the club theme. 	3259.168000
3259.440000	sx437 They used an aggressive policeman to flag thoughtless motorists. 	3267.584000
3267.864000	sx438 Shell shock caused by shrapnel is sometimes cured through group therapy. 	3277.264000
3277.544000	sx439 That stinging vapor was caused by chloride vaporization. 	3286.024000
3286.304000	sx440 The advertising verse of Plymouth Variety Store never changes. 	3295.888000
3296.160000	sx441 Don't look for group valuables in a bank vault. 	3302.744000
3303.024000	sx442 Suburban housewives often suffer from the gab habit. 	3309.424000
3309.704000	sx443 A lone star shone in the early evening sky. 	3316.464000
3316.744000	sx444 The toddler found a clamshell near the camp site. 	3323.664000
3323.944000	sx445 What is this large thing by the ironing board? 	3331.864000
3332.144000	sx446 Thomas thinks a larger clamp solves the problem. 	3338.408000
3338.680000	sx447 First add milk to the shredded cheese. 	3344.464000
3344.744000	sx448 Spherical gifts are difficult to wrap. 	3351.304000
3351.584000	sx449 Ralph prepared red snapper with fresh lemon sauce for dinner. 	3359.128000
3359.400000	sx450 Roy ignored the spurious data points in drawing the graph. 	3366.984000
3367.264000	sx451 The thick elm forest was nearly overwhelmed by Dutch Elm Disease. 	3373.984000
